"order_id";"order_date";"region";"city";"product_name";"category";"quantity";"unit_price";"total_revenue";"customer_id";"sales_channel"
"UK-2026-100091";"2026-01-29";"Central";"Raipur";"Adjustable Dumbbells 15kg";"Sports";1;4773;"4773";"CUST-19257";"App"
"UK-2026-104981";"2026-06-02";"North";"Delhi";"Noise-Cancelling Headphones";"Electronics";1;8699;"8699";"CUST-66247";"App"
"UK-2026-101967";"2026-03-10";"North";"Chandigarh";"Foldable Treadmill T2";"Sports";2;25333;"50666";"CUST-45324";"Marketplace"
"UK-2026-104751";"2026-06-17";"South";"Hyderabad";"Ethnic Dupatta";"Fashion";1;516;"516";"CUST-39914";"Marketplace"
"UK-2026-101390";"2026-02-01";"South";"Chennai";"Beard Grooming Kit";"Beauty";1;1022;"1022";"CUST-58238";"App"
"UK-2026-101250";"2026-02-16";"North";"Gurugram";"Smart Watch X2";"Electronics";4;4312;"17248";"CUST-79467";"App"
"UK-2026-102078";"2026-03-22";"North";"Chandigarh";"Gym Gloves";"Sports";2;476;"952";"CUST-39244";"Website"
"UK-2026-104182";"2026-06-28";"Central";"Indore";"Ultrabook Air 14";"Electronics";2;28850;"57700";"CUST-82887";"Marketplace"
"UK-2026-102970";"2026-04-08";"North";"Chandigarh";"Cycling Helmet";"Sports";1;1597;"1597";"CUST-31101";"App"
"UK-2026-103421";"2026-05-03";"North";"Noida";"Smart Watch X2";"Electronics";1;4448;"4448";"CUST-67423";"Website"
"UK-2026-103520";"2026-05-06";"North";"Delhi";"Air Fryer 5L";"Home & Kitchen";2;5594;"11188";"CUST-67447";"Website"
"UK-2026-102134";"2026-03-03";"South";"Chennai";"Bluetooth Speaker Mini";"Electronics";2;1571;"3142";"CUST-85367";"App"
"UK-2026-100684";"2026-01-07";"South";"Bengaluru";"Modern Wall Clock";"Home & Kitchen";4;783;"3132";"CUST-50671";"App"
"UK-2026-100059";"2026-01-12";"West";"Ahmedabad";"Cotton Bedsheet Set";"Home & Kitchen";2;1382;"2764";"CUST-84213";"App"
"UK-2026-101555";"2026-03-05";"South";"Hyderabad";"Noise-Cancelling Headphones";"Electronics";2;9401;"18802";"CUST-13360";"Marketplace"
"UK-2026-103607";"2026-05-03";"South";"Bengaluru";"Noise-Cancelling Headphones";"Electronics";1;9129;"9129";"CUST-92650";"Marketplace"
"UK-2026-100617";"2026-01-09";"Central";"Nagpur";"Cotton Kurta Set";"Fashion";1;1351;"1351";"CUST-15429";"App"
"UK-2026-101860";"2026-03-23";"West";"Mumbai";"Electric Kettle 1.5L";"Home & Kitchen";2;1070;"2140";"CUST-97236";"Marketplace"
"UK-2026-104041";"2026-06-19";"North";"Delhi";"Noise-Cancelling Headphones";"Electronics";1;8570;"8570";"CUST-87457";"Marketplace"
"UK-2026-102223";"2026-03-16";"South";"Bengaluru";"Robot Vacuum R7";"Home & Kitchen";1;19935;"19935";"CUST-86626";"Website"
"UK-2026-101978";"2026-03-15";"South";"Bengaluru";"Formal Shirt";"Fashion";1;1088;"1088";"CUST-66191";"App"
"UK-2026-100163";"2026-01-22";"West";"Pune";"Adjustable Dumbbells 15kg";"Sports";4;4861;"19444";"CUST-62130";"App"
"UK-2026-102204";"2026-03-14";"South";"Hyderabad";"Yoga Mat Pro";"Sports";1;1216;"1216";"CUST-45170";"App"
"UK-2026-101423";"2026-02-09";"North";"Delhi";"Dinner Set 24pc";"Home & Kitchen";3;2553;"7659";"CUST-57852";"Website"
"UK-2026-103694";"2026-05-31";"Central";"Indore";"Mixer Grinder 750W";"Home & Kitchen";2;3396;"6792";"CUST-89469";"Website"
"UK-2026-100390";"2026-01-16";"South";"Hyderabad";"Non-Stick Cookware Set";"Home & Kitchen";3;2996;"8988";"CUST-62111";"App"
"UK-2026-103414";"2026-05-21";"West";"Mumbai";"Bluetooth Speaker Mini";"Electronics";1;1482;"1482";"CUST-93417";"Marketplace"
"UK-2026-101548";"2026-03-13";"West";"Surat";"Mixer Grinder 750W";"Home & Kitchen";1;3462;"3462";"CUST-73615";"App"
"UK-2026-104501";"2026-06-26";"Central";"Nagpur";"Vitamin C Serum";"Beauty";1;687;"687";"CUST-36399";"App"
"UK-2026-102601";"2026-04-14";"West";"Mumbai";"Leather Wallet";"Fashion";2;862;"1724";"CUST-71188";"Website"
"UK-2026-104718";"2026-06-18";"South";"Kochi";"Silk Saree";"Fashion";4;3437;"13748";"CUST-71235";"Website"
"UK-2026-102905";"2026-04-30";"West";"Pune";"Mixer Grinder 750W";"Home & Kitchen";3;3209;"9627.00";"CUST-40091";"App"
"UK-2026-102782";"2026-04-23";"North";"Delhi";"Ethnic Dupatta";"Fashion";3;523;"1569";"CUST-20355";"Website"
"UK-2026-103470";"2026-05-01";"South";"Hyderabad";"Yoga Mat Pro";"Sports";1;1251;"1251";"CUST-76773";"App"
"UK-2026-103002";"2026-04-30";"Central";"Indore";"Modern Wall Clock";"Home & Kitchen";1;803;"803";"CUST-41920";"App"
"UK-2026-102307";"2026-04-06";"West";"Pune";"Cotton Kurta Set";"Fashion";1;1243;"1243";"CUST-49105";"Website"
"UK-2026-104989";"2026-06-06";"East";"Patna";"Mirrorless Camera Lite";"Electronics";1;29634;"29634";"CUST-49206";"Website"
"UK-2026-104454";"2026-06-14";"East";"Kolkata";"43-inch Smart TV";"Electronics";2;26416;"52832";"CUST-75277";"Website"
"UK-2026-102664";"2026-04-02";"East";"Guwahati";"Denim Jacket";"Fashion";2;2224;"4448";"CUST-49103";"App"
"UK-2026-102813";"2026-04-08";"South";"Hyderabad";"Ultrabook Air 14";"Electronics";1;30061;"30061";"CUST-74432";"App"
"UK-2026-101791";"2026-03-05";"West";"Surat";"Smart Watch X2";"Electronics";2;4408;"8816";"CUST-92390";"Marketplace"
"UK-2026-104622";"2026-06-19";"South";"Bangalore";"Makeup Brush Set";"Beauty";1;1238;"1238";"CUST-43653";"App"
"UK-2026-104597";"2026-06-03";"North";"Chandigarh";"Mirrorless Camera Lite";"Electronics";1;29750;"29750";"CUST-95214";"Marketplace"
"UK-2026-102276";"2026-04-15";"North";"Noida";"Robot Vacuum R7";"Home & Kitchen";1;19060;"19060";"CUST-76415";"Website"
"UK-2026-103476";"2026-05-07";"North";"Delhi";"Silk Saree";"Fashion";1;3509;"3509";"CUST-91028";"App"
"UK-2026-102255";"2026-04-26";"South";"Kochi";"Face Wash Combo";"Beauty";1;461;"461";"CUST-35945";"Website"
"UK-2026-103433";"2026-05-22";"North";"Gurugram";"Dinner Set 24pc";"Home & Kitchen";1;2539;"2539";"CUST-90990";"App"
"UK-2026-100328";"2026-01-15";"South";"Hyderabad";"Badminton Racket Set";"Sports";1;2386;"2386";"CUST-55912";"App"
"UK-2026-101561";"2026-03-27";"South";"Kochi";"Gym Gloves";"Sports";4;491;"1964";"CUST-47003";"App"
"UK-2026-101451";"2026-03-17";"North";"Delhi";"Ethnic Dupatta";"Fashion";1;518;"518";"CUST-49143";"Marketplace"
"UK-2026-101988";"2026-03-03";"West";"Surat";"Power Bank 20000mAh";"Electronics";1;1866;"1866";"CUST-92856";"Website"
"UK-2026-103617";"2026-05-08";"West";"Pune";"Running Sneakers";"Fashion";1;2746;"2746";"CUST-39808";"Website"
"UK-2026-103084";"2026-04-25";"North";"Noida";"Electric Kettle 1.5L";"Home & Kitchen";1;1050;"1050";"CUST-92859";"App"
"UK-2026-103532";"2026-05-30";"North";"Noida";"Mirrorless Camera Lite";"Electronics";1;28820;"28820";"CUST-64437";"App"
"UK-2026-102410";"2026-04-10";"North";"Gurugram";"Football Size 5";"Sports";2;936;"1872";"CUST-38963";"App"
"UK-2026-100730";"2026-02-19";"South";"Kochi";"Yoga Mat Pro";"Sports";2;1220;"2440";"CUST-45925";"Website"
"UK-2026-100092";"2026-01-26";"West";"Surat";"Slim Fit Jeans";"Fashion";1;1586;"1586";"CUST-24182";"App"
"UK-2026-104784";"2026-06-21";"South";"Hyderabad";"Makeup Brush Set";"Beauty";1;1252;"1252";"CUST-76446";"Marketplace"
"UK-2026-100407";"2026-01-10";"Central";"Indore";"Vitamin C Serum";"Beauty";1;693;"693";"CUST-86446";"Website"
"UK-2026-103548";"2026-05-19";"North";"Gurugram";"Running Sneakers";"Fashion";1;2920;"2920";"CUST-34072";"App"
"UK-2026-104149";"2026-06-25";"South";"Bengaluru";"Noise-Cancelling Headphones";"Electronics";1;8886;"8886";"CUST-58984";"Marketplace"
"UK-2026-101163";"2026-02-26";"West";"Surat";"Eau de Parfum 100ml";"Beauty";1;2085;"2085";"CUST-36815";"Marketplace"
"UK-2026-100160";"2026-01-10";"West";"Surat";"Cotton Bedsheet Set";"Home & Kitchen";1;1465;"1465";"CUST-71244";"Website"
"UK-2026-103737";"2026-05-23";"West";"Pune";"Beard Grooming Kit";"Beauty";2;1048;"2096";"CUST-89873";"Website"
"UK-2026-103765";"2026-05-02";"North";"Noida";"Beard Grooming Kit";"Beauty";1;1040;"1040";"CUST-25530";"App"
"UK-2026-100888";"2026-02-23";"West";"Surat";"Dinner Set 24pc";"Home & Kitchen";1;2558;"2558";"CUST-71227";"App"
"UK-2026-104158";"2026-06-09";"North";"Delhi";"Bluetooth Speaker Mini";"Electronics";1;1563;"1563";"CUST-22250";"Website"
"UK-2026-102805";"2026-04-07";"East";"Kolkata";"Smart Watch X2";"Electronics";1;4444;"4444";"CUST-54393";"Website"
"UK-2026-101139";"2026-02-15";"Central";"Nagpur";"Foldable Treadmill T2";"Sports";1;23871;"23871";"CUST-68168";"App"
"UK-2026-101992";"2026-03-09";"South";"Hyderabad";"Silk Saree";"Fashion";2;3668;"7336";"CUST-40273";"App"
"UK-2026-101953";"2026-03-25";"Central";"Bhopal";"Dinner Set 24pc";"Home & Kitchen";2;2621;"5242";"CUST-55457";"Website"
"UK-2026-100073";"2026-01-22";"Central";"Nagpur";"Non-Stick Cookware Set";"Home & Kitchen";3;2808;"8424";"CUST-88102";"Website"
"UK-2026-101437";"2026-02-14";"North";"Delhi";"Slim Fit Jeans";"Fashion";1;1625;"1625";"CUST-11384";"Website"
"UK-2026-104113";"2026-06-30";"South";"Hyderabad";"Denim Jacket";"Fashion";1;2093;"2093";"CUST-84486";"App"
"UK-2026-102546";"2026-04-17";"North";"Gurugram";"Modern Wall Clock";"Home & Kitchen";1;794;"794";"CUST-46892";"App"
"UK-2026-100196";"2026-01-25";"Central";"Bhopal";"Mirrorless Camera Lite";"Electronics";1;29538;"29538";"CUST-26905";"Marketplace"
"UK-2026-101676";"2026-03-08";"West";"Ahmedabad";"Denim Jacket";"Fashion";2;2172;"4344";"CUST-15239";"App"
"UK-2026-103991";"2026-05-19";"South";"Bengaluru";"Mirrorless Camera Lite";"Electronics";1;30357;"30357";"CUST-21856";"Website"
"UK-2026-101157";"2026-02-20";"Central";"Raipur";"43-inch Smart TV";"Electronics";1;26446;"26446";"CUST-38961";"App"
"UK-2026-100141";"2026-01-20";"North";"Chandigarh";"Smart Watch X2";"Electronics";1;4472;"4472";"CUST-76106";"Marketplace"
"UK-2026-104141";"2026-06-28";"South";"Hyderabad";"Non-Stick Cookware Set";"Home & Kitchen";2;2985;"5970";"CUST-78503";"Website"
"UK-2026-103106";"2026-05-09";"South";"Chennai";"43-inch Smart TV";"Electronics";2;26547;"53094";"CUST-11384";"Marketplace"
"UK-2026-102192";"2026-03-24";"North";"Chandigarh";"Bluetooth Speaker Mini";"Electronics";1;1489;"1489";"CUST-30073";"App"
"UK-2026-101849";"2026-03-18";"North";"Chandigarh";"Football Size 5";"Sports";1;920;"920";"CUST-92685";"Website"
"UK-2026-102533";"2026-04-02";"North";"Chandigarh";"Beard Grooming Kit";"Beauty";1;1040;"1040";"CUST-57937";"App"
"UK-2026-100688";"2026-01-05";"East";"Bhubaneswar";"Bluetooth Speaker Mini";"Electronics";1;1520;"1520";"CUST-50671";"App"
"UK-2026-103451";"2026-05-23";"North";"Gurugram";"Bluetooth Speaker Mini";"Electronics";3;1487;"4461";"CUST-93992";"Marketplace"
"UK-2026-100098";"2026-01-30";"North";"Chandigarh";"Cotton Kurta Set";"Fashion";1;1354;"1354";"CUST-66585";"Marketplace"
"UK-2026-103139";"2026-05-23";"Central";"Nagpur";"Denim Jacket";"Fashion";4;2261;"9044";"CUST-67288";"App"
"UK-2026-103153";"2026-05-03";"North";"Gurugram";"Ethnic Dupatta";"Fashion";1;478;"478";"CUST-15646";"Marketplace"
"UK-2026-103092";"2026-05-11";"North";"Delhi";"Eau de Parfum 100ml";"Beauty";1;2046;"2046";"CUST-65550";"App"
"UK-2026-103058";"2026-04-09";"West";"Ahmedabad";"Denim Jacket";"Fashion";1;2291;"2291";"CUST-31551";"Website"
"UK-2026-104769";"2026-06-15";"West";"Surat";"Mixer Grinder 750W";"Home & Kitchen";1;3235;"3235";"CUST-47202";"App"
"UK-2026-100230";"2026-01-23";"West";"Pune";"Electric Kettle 1.5L";"Home & Kitchen";1;1066;"1066";"CUST-99008";"App"
"UK-2026-103683";"2026-05-21";"East";"Bhubaneswar";"Cotton Kurta Set";"Fashion";1;1333;"1333";"CUST-67482";"App"
"UK-2026-103103";"2026-05-26";"North";"Chandigarh";"Noise-Cancelling Headphones";"Electronics";4;9421;"37684";"CUST-66102";"Website"
"UK-2026-100960";"2026-02-23";"West";"Surat";"Modern Wall Clock";"Home & Kitchen";4;785;"3140";"CUST-11634";"App"
"UK-2026-100207";"2026-01-12";"North";"Delhi";"Football Size 5";"Sports";1;937;"937";"CUST-19676";"Marketplace"
"UK-2026-104142";"2026-06-30";"East";"Guwahati";"Cotton Kurta Set";"Fashion";1;1332;"1332";"CUST-43270";"App"
"UK-2026-102317";"2026-04-16";"Central";"Nagpur";"Running Sneakers";"Fashion";1;2685;"2685";"CUST-83593";"App"
"UK-2026-100240";"2026-01-20";"West";"Ahmedabad";"Makeup Brush Set";"Beauty";1;1313;"1313";"CUST-16381";"App"
"UK-2026-101706";"2026-03-06";"North";"Chandigarh";"Air Fryer 5L";"Home & Kitchen";1;5650;"5650";"CUST-34193";"Website"
"UK-2026-104682";"2026-06-24";"South";"Kochi";"Ultrabook Air 14";"Electronics";1;30891;"30891";"CUST-65201";"Marketplace"
"UK-2026-103952";"2026-05-22";"East";"Guwahati";"Yoga Mat Pro";"Sports";2;1232;"2464";"CUST-67423";"Website"
"UK-2026-102344";"2026-04-23";"Central";"Raipur";"Matte Lipstick Set";"Beauty";3;923;"2769";"CUST-28892";"App"
"UK-2026-101470";"2026-03-15";"South";"Chennai";"Cotton Kurta Set";"Fashion";2;1250;"2500";"CUST-11501";"App"
"UK-2026-101640";"2026-03-20";"South";"Madras";"Gym Gloves";"Sports";1;491;"491";"CUST-11548";"Marketplace"
"UK-2026-100350";"2026-01-27";"East";"Kolkata";"Noise-Cancelling Headphones";"Electronics";1;8620;"8620";"CUST-57262";"App"
"UK-2026-104138";"2026-06-01";"East";"Kolkata";"Slim Fit Jeans";"Fashion";2;1667;"3334";"CUST-93733";"Website"
"UK-2026-102749";"2026-04-29";"North";"Delhi";"Power Bank 20000mAh";"Electronics";1;1795;"1795";"CUST-11548";"Marketplace"
"UK-2026-101889";"2026-03-21";"West";"Mumbai";"Silk Saree";"Fashion";1;3402;"3402";"CUST-84872";"Website"
"UK-2026-102081";"2026-03-27";"South";"Kochi";"Robot Vacuum R7";"Home & Kitchen";1;19183;"19183";"CUST-56216";"App"
"UK-2026-102250";"2026-04-24";"West";"Pune";"Mirrorless Camera Lite";"Electronics";1;30083;"30083";"CUST-16732";"Marketplace"
"UK-2026-102248";"2026-04-26";"North";"Gurugram";"Formal Shirt";"Fashion";1;1089;"1089";"CUST-34193";"App"
"UK-2026-102310";"2026-04-21";"South";"Hyderabad";"Dinner Set 24pc";"Home & Kitchen";2;2389;"4778";"CUST-61412";"App"
"UK-2026-104170";"2026-06-29";"North";"Chandigarh";"Air Fryer 5L";"Home & Kitchen";2;5699;"11398";"CUST-80680";"Website"
"UK-2026-100728";"2026-02-16";"East";"Guwahati";"Slim Fit Jeans";"Fashion";1;1607;"1607";"CUST-50348";"Website"
"UK-2026-101179";"2026-02-23";"South";"Madras";"Modern Wall Clock";"Home & Kitchen";1;782;"782";"CUST-24659";"Website"
"UK-2026-102744";"2026-04-26";"West";"Ahmedabad";"Smart Watch X2";"Electronics";1;4428;"4428";"CUST-25530";"Marketplace"
"UK-2026-103708";"2026-05-06";"South";"Bengaluru";"Modern Wall Clock";"Home & Kitchen";1;759;"759";"CUST-39935";"Marketplace"
"UK-2026-104181";"2026-06-27";"North";"Delhi";"Non-Stick Cookware Set";"Home & Kitchen";1;2784;"2784";"CUST-91028";"App"
"UK-2026-102539";"2026-04-23";"South";"Hyderabad";"Ethnic Dupatta";"Fashion";2;522;"1044";"CUST-93025";"App"
"UK-2026-103766";"2026-05-12";"South";"Kochi";"Wireless Earbuds Pro";"Electronics";1;2949;"2949";"CUST-55091";"App"
"UK-2026-100553";"2026-01-12";"West";"Mumbai";"Cycling Helmet";"Sports";4;1611;"6444";"CUST-53341";"App"
"UK-2026-100338";"2026-01-12";"South";"Chennai";"Foldable Treadmill T2";"Sports";1;25789;"25789";"CUST-88131";"App"
"UK-2026-100355";"2026-01-18";"West";"Surat";"Ionic Hair Dryer";"Beauty";2;1845;"3690";"CUST-62845";"Website"
"UK-2026-101068";"2026-02-11";"South";"Kochi";"Dinner Set 24pc";"Home & Kitchen";1;2606;"2606";"CUST-45654";"App"
"UK-2026-104703";"2026-06-25";"West";"Mumbai";"Cycling Helmet";"Sports";1;1555;"1555";"CUST-32864";"App"
"UK-2026-101329";"2026-02-26";"East";"Patna";"Air Fryer 5L";"Home & Kitchen";1;5488;"5488";"CUST-51037";"Website"
"UK-2026-104940";"2026-06-10";"Central";"Nagpur";"Ethnic Dupatta";"Fashion";1;483;"483";"CUST-46035";"App"
"UK-2026-101751";"2026-03-15";"Central";"Bhopal";"Adjustable Dumbbells 15kg";"Sports";3;5018;"15054";"CUST-70166";"App"
"UK-2026-100179";"2026-01-10";"North";"Noida";"Wireless Earbuds Pro";"Electronics";1;3049;"3049";"CUST-55343";"Marketplace"
"UK-2026-104049";"2026-06-04";"East";"Bhubaneswar";"Yoga Mat Pro";"Sports";1;1171;"1171";"CUST-13522";"App"
"UK-2026-100980";"2026-02-27";"Central";"Bhopal";"Slim Fit Jeans";"Fashion";1;1613;"1613";"CUST-96086";"Website"
"UK-2026-104779";"2026-06-22";"North";"Chandigarh";"Badminton Racket Set";"Sports";1;2568;"2568";"CUST-81546";"App"
"UK-2026-102648";"2026-04-29";"North";"Noida";"43-inch Smart TV";"Electronics";2;25977;"51954";"CUST-63881";"Marketplace"
"UK-2026-101774";"2026-03-27";"South";"Bengaluru";"Modern Wall Clock";"Home & Kitchen";1;789;"789";"CUST-24182";"Marketplace"
"UK-2026-100144";"2026-01-04";"South";"Hyderabad";"Badminton Racket Set";"Sports";1;2570;"2570";"CUST-10309";"App"
"UK-2026-102925";"2026-04-08";"East";"Guwahati";"Ethnic Dupatta";"Fashion";2;504;"1008";"CUST-91848";"App"
"UK-2026-101283";"2026-02-23";"East";"Patna";"Matte Lipstick Set";"Beauty";2;904;"1808";"CUST-62111";"App"
"UK-2026-100215";"2026-01-28";"South";"Hyderabad";"Ionic Hair Dryer";"Beauty";3;1821;"5463";"CUST-85192";"Website"
"UK-2026-103643";"2026-05-24";"West";"Ahmedabad";"Cricket Bat English Willow";"Sports";2;9189;"18378";"CUST-25692";"Website"
"UK-2026-102870";"2026-04-11";"North";"Delhi";"Running Sneakers";"Fashion";1;2694;"2694";"CUST-84379";"App"
"UK-2026-102474";"2026-04-18";"South";"Chennai";"Ultrabook Air 14";"Electronics";1;28962;"28962";"CUST-10079";"App"
"UK-2026-103848";"2026-05-07";"West";"Surat";"Electric Kettle 1.5L";"Home & Kitchen";1;1073;"1073";"CUST-25358";"App"
"UK-2026-104628";"2026-06-01";"North";"Noida";"43-inch Smart TV";"Electronics";1;26730;"26730";"CUST-65634";"Marketplace"
"UK-2026-103383";"2026-05-14";"South";"Chennai";"Mirrorless Camera Lite";"Electronics";1;28204;"28204";"CUST-18006";"Marketplace"
"UK-2026-102666";"2026-04-09";"East";"Patna";"Running Sneakers";"Fashion";4;2750;"11000";"CUST-45654";"App"
"UK-2026-100914";"2026-02-16";"West";"Bombay";"Dinner Set 24pc";"Home & Kitchen";3;2495;"7485";"CUST-39330";"Marketplace"
"UK-2026-104108";"2026-06-24";"East";"Kolkata";"Mixer Grinder 750W";"Home & Kitchen";1;3330;"3330";"CUST-90539";"App"
"UK-2026-100184";"2026-01-29";"North";"Noida";"Matte Lipstick Set";"Beauty";1;923;"923";"CUST-65228";"Website"
"UK-2026-103436";"2026-05-06";"South";"Bengaluru";"Wireless Earbuds Pro";"Electronics";2;3012;"6024";"CUST-60710";"App"
"UK-2026-104756";"2026-06-15";"West";"Mumbai";"Dinner Set 24pc";"Home & Kitchen";1;2452;"2452";"CUST-49636";"App"
"UK-2026-101599";"2026-03-01";"South";"Kochi";"Adjustable Dumbbells 15kg";"Sports";1;5186;"5186";"CUST-74562";"Website"
"UK-2026-104360";"2026-06-11";"North";"New Delhi";"Cotton Kurta Set";"Fashion";1;1266;"1266";"CUST-45903";"Marketplace"
"UK-2026-102912";"2026-04-01";"North";"Gurugram";"Bluetooth Speaker Mini";"Electronics";1;1501;"1501";"CUST-46496";"App"
"UK-2026-100921";"2026-02-25";"South";"Hyderabad";"Bluetooth Speaker Mini";"Electronics";1;1502;"1502";"CUST-49143";"Marketplace"
"UK-2026-101516";"2026-03-22";"North";"Noida";"Adjustable Dumbbells 15kg";"Sports";2;4999;"9998";"CUST-73325";"Website"
"UK-2026-104639";"2026-06-06";"North";"Delhi";"Ethnic Dupatta";"Fashion";1;475;"475";"CUST-69547";"Marketplace"
"UK-2026-101500";"2026-03-12";"Central";"Nagpur";"Silk Saree";"Fashion";1;3472;"3472";"CUST-89442";"App"
"UK-2026-102068";"2026-03-24";"West";"Surat";"Ultrabook Air 14";"Electronics";1;29397;"29397";"CUST-33166";"Website"
"UK-2026-101893";"2026-03-29";"Central";"Bhopal";"Denim Jacket";"Fashion";1;2102;"2102";"CUST-36083";"App"
"UK-2026-103218";"2026-05-28";"Central";"Indore";"Cotton Bedsheet Set";"Home & Kitchen";1;1378;"1378";"CUST-12384";"Marketplace"
"UK-2026-102252";"2026-04-10";"East";"Kolkata";"Cotton Bedsheet Set";"Home & Kitchen";1;1463;"1463";"CUST-57213";"Website"
"UK-2026-101721";"2026-03-01";"East";"Bhubaneswar";"Leather Wallet";"Fashion";2;943;"1886";"CUST-26236";"App"
"UK-2026-102266";"2026-04-27";"East";"Guwahati";"Bluetooth Speaker Mini";"Electronics";1;1510;"1510";"CUST-45152";"Marketplace"
"UK-2026-103646";"2026-05-13";"South";"Bengaluru";"Vitamin C Serum";"Beauty";1;720;"720";"CUST-54534";"App"
"UK-2026-101241";"2026-02-18";"North";"Gurugram";"Wireless Earbuds Pro";"Electronics";1;2995;"2995";"CUST-65092";"Marketplace"
"UK-2026-100282";"2026-01-24";"South";"Madras";"Cotton Bedsheet Set";"Home & Kitchen";3;1341;"4023";"CUST-10175";"Website"
"UK-2026-100296";"2026-01-13";"North";"Noida";"43-inch Smart TV";"Electronics";1;26878;"26878";"CUST-99752";"Marketplace"
"UK-2026-104053";"2026-06-14";"West";"Pune";"Adjustable Dumbbells 15kg";"Sports";1;4822;"4822";"CUST-95965";"Marketplace"
"UK-2026-102416";"2026-04-21";"South";"Chennai";"Dinner Set 24pc";"Home & Kitchen";2;2608;"5216";"CUST-89129";"Marketplace"
"UK-2026-103152";"2026-05-19";"West";"Surat";"Formal Shirt";"Fashion";1;1082;"1082";"CUST-15731";"Website"
"UK-2026-101341";"2026-02-10";"West";"Surat";"Foldable Treadmill T2";"Sports";1;25136;"25136";"CUST-80507";"Website"
"UK-2026-104258";"2026-06-27";"Central";"Indore";"Ethnic Dupatta";"Fashion";2;478;"956";"CUST-29527";"Website"
"UK-2026-101438";"2026-02-01";"North";"Noida";"Smart Watch X2";"Electronics";1;4343;"4343";"CUST-67809";"Marketplace"
"UK-2026-103083";"2026-04-30";"East";"Kolkata";"Noise-Cancelling Headphones";"Electronics";1;8628;"8628";"CUST-96628";"Marketplace"
"UK-2026-103283";"2026-05-25";"South";"Bengaluru";"Ionic Hair Dryer";"Beauty";1;1857;"1857";"CUST-16076";"App"
"UK-2026-102096";"2026-03-09";"South";"Kochi";"Foldable Treadmill T2";"Sports";1;25399;"25399";"CUST-19738";"Website"
"UK-2026-102740";"2026-04-08";"West";"Mumbai";"Running Sneakers";"Fashion";1;2842;"2842";"CUST-12064";"Website"
"UK-2026-104979";"2026-06-07";"West";"Mumbai";"Non-Stick Cookware Set";"Home & Kitchen";1;2952;"2952";"CUST-39363";"Website"
"UK-2026-102566";"2026-04-19";"South";"Chennai";"Smart Watch X2";"Electronics";1;4661;"4661";"CUST-88513";"App"
"UK-2026-101576";"2026-03-13";"South";"Hyderabad";"Running Sneakers";"Fashion";2;2755;"5510";"CUST-42366";"Website"
